"","object","Answer.competition_condition","c","n","l","sdc","c.cih","c.cil","competition"
"1","Answer.DW_strength",0,0.842759442711432,27.8110616094772,33,0.111147695359758,0.877542217023283,0.80530699717457,"control"
"2","Answer.DW_strength",1,0.821800652274494,31.2284247864308,38,0.127108545730984,0.85945362776285,0.778819536817592,"partner"
"3","Answer.DW_strength",2,0.825519651411448,24.7655895423434,30,0.195665044157927,0.885623207410499,0.748562666087034,"opponent"
"4","Answer.expectation_of_winning",0,0.63276891061691,20.881374050358,33,0.170675829924818,0.687596119291081,0.569955383659111,"control"
"5","Answer.expectation_of_winning",1,0.70070868055521,26.626929861098,38,0.166253620985005,0.754411518143875,0.653376221916219,"partner"
"6","Answer.expectation_of_winning",2,0.48490048420618,14.5470145261854,30,0.265426949351832,0.575577736438877,0.38967384826589,"opponent"
"7","Answer.strength_of_average_player",0,0.55395934427767,18.2806583611631,33,0.142745816938639,0.600430306493844,0.508960617500055,"control"
"8","Answer.strength_of_average_player",1,0.59351972459541,22.5537495346256,38,0.154218534022694,0.637206390734204,0.547557425061983,"partner"
"9","Answer.strength_of_average_player",2,0.577713969641505,17.3314190892452,30,0.215245615497757,0.65116698980069,0.498742946348382,"opponent"
"10","Answer.role_of_luck_in_game",0,0.288830604545146,9.53140994998983,33,0.195833917969617,0.35975478010152,0.22689156692094,"control"
"11","Answer.role_of_luck_in_game",1,0.370566666785522,14.0815333378499,38,0.227347336050477,0.439994644893405,0.30155581598579,"partner"
"12","Answer.role_of_luck_in_game",2,0.318430630402149,9.55291891206446,30,0.233560109936313,0.401428148627611,0.232717088264745,"opponent"
