"","object","Answer.competition_condition","c","n","l","sdc","c.cih","c.cil","competition"
"1","Answer.DW_strength",0,0.685047417176905,4.11028450306143,6,0.249528960945913,0.843071977179388,0.473304133028889,"control"
"2","Answer.DW_strength",1,0.5447986749598,9.8063761492764,18,0.182846557465191,0.623035500268851,0.463814115382702,"partner"
"3","Answer.DW_strength",2,0.51647499687172,6.71417495933236,13,0.235529386313056,0.638068801841096,0.385700325225149,"opponent"
"4","Answer.expectation_of_winning",0,0.726646030984809,4.35987618590885,6,0.127510694001895,0.815492882552259,0.633873774400906,"control"
"5","Answer.expectation_of_winning",1,0.628847345145724,11.319252212623,18,0.210058562313334,0.724395626007169,0.535016401145927,"partner"
"6","Answer.expectation_of_winning",2,0.781391376843578,10.1580878989665,13,0.17494034393918,0.871245921527743,0.67969785541322,"opponent"
"7","Answer.strength_of_average_player",0,0.580563636609293,3.48338181965576,6,0.250230712185625,0.745602675271343,0.388049899607022,"control"
"8","Answer.strength_of_average_player",1,0.632971002361246,11.3934780425024,18,0.203616092026858,0.719545799627526,0.545108810911193,"partner"
"9","Answer.strength_of_average_player",2,0.709290119657175,9.22077155554327,13,0.106766929884229,0.762473886067115,0.649294204005949,"opponent"
"10","Answer.role_of_luck_in_game",0,0.404857817205758,2.42914690323455,6,0.372881275602109,0.671396166353413,0.116034280650714,"control"
"11","Answer.role_of_luck_in_game",1,0.329902376466377,5.93824277639479,18,0.227460359052448,0.430111213865376,0.22518563291076,"partner"
"12","Answer.role_of_luck_in_game",2,0.450582779657137,5.85757613554278,13,0.312091612833247,0.612788631818401,0.284884595370792,"opponent"
