"","object","Answer.competition_condition","c","n","l","sdc","c.cih","c.cil","competition"
"1","Answer.DW_strength",0,0.542912487598048,4.88621238838243,9,0.176198089259685,0.645725203503431,0.427769242726396,"control"
"2","Answer.DW_strength",1,0.5447986749598,9.8063761492764,18,0.182846557465191,0.627473133847823,0.468234339568042,"partner"
"3","Answer.DW_strength",2,0.51647499687172,6.71417495933236,13,0.235529386313056,0.631919782198779,0.379731775874374,"opponent"
"4","Answer.expectation_of_winning",0,0.770722084763191,6.93649876286872,9,0.137239567695571,0.854499604046802,0.693586773552342,"control"
"5","Answer.expectation_of_winning",1,0.628847345145724,11.319252212623,18,0.210058562313334,0.713780880332726,0.529742899608023,"partner"
"6","Answer.expectation_of_winning",2,0.781391376843578,10.1580878989665,13,0.17494034393918,0.865314983567261,0.688821970425417,"opponent"
"7","Answer.strength_of_average_player",0,0.650635097280666,5.855715875526,9,0.0834909688684149,0.702359297500446,0.597558264197122,"control"
"8","Answer.strength_of_average_player",1,0.632971002361246,11.3934780425024,18,0.203616092026858,0.717395554518405,0.538064759389498,"partner"
"9","Answer.strength_of_average_player",2,0.709290119657175,9.22077155554327,13,0.106766929884229,0.761542685341001,0.65186778381601,"opponent"
"10","Answer.role_of_luck_in_game",0,0.482602073123067,4.3434186581076,9,0.208258269324245,0.616031648201192,0.358014413156192,"control"
"11","Answer.role_of_luck_in_game",1,0.329902376466377,5.93824277639479,18,0.227460359052448,0.423629623820625,0.235625733409002,"partner"
"12","Answer.role_of_luck_in_game",2,0.450582779657137,5.85757613554278,13,0.312091612833247,0.62334553802481,0.278918602668268,"opponent"
