"","object","Answer.competition_condition","c","n","l","sdc","c.cih","c.cil","competition"
"1","Answer.DW_strength",0,0.732030499462057,5.85624399569646,8,0.228192059253233,0.855638486025475,0.575283069015968,"control"
"2","Answer.DW_strength",1,0.575991745727089,12.671818405996,22,0.186715379374233,0.657786466110182,0.500301229439667,"partner"
"3","Answer.DW_strength",2,0.554406606792898,8.87050570868636,16,0.244444359719368,0.668511445663819,0.444967982007347,"opponent"
"4","Answer.expectation_of_winning",0,0.679906632168248,5.43925305734598,8,0.220577813268858,0.804555831741941,0.521798793889626,"control"
"5","Answer.expectation_of_winning",1,0.670448499439732,14.7498669876741,22,0.223920316189954,0.758582617538793,0.581368479359669,"partner"
"6","Answer.expectation_of_winning",2,0.769005170687991,12.3040827310079,16,0.184408578800535,0.857959880419565,0.676397519807545,"opponent"
"7","Answer.strength_of_average_player",0,0.542337224633431,4.33869779706745,8,0.250209193555208,0.689162132073871,0.372878221423743,"control"
"8","Answer.strength_of_average_player",1,0.640614656342362,14.093522439532,22,0.206268888729054,0.724156119221018,0.552733529430503,"partner"
"9","Answer.strength_of_average_player",2,0.694342242155009,11.1094758744802,16,0.109013282323563,0.744851418802824,0.643462267068598,"opponent"
"10","Answer.role_of_luck_in_game",0,0.485855774555551,3.88684619644441,8,0.351598397921025,0.693259569913604,0.26591306114014,"control"
"11","Answer.role_of_luck_in_game",1,0.337671053064284,7.42876316741426,22,0.249895879730421,0.440781403242836,0.235433701247985,"partner"
"12","Answer.role_of_luck_in_game",2,0.430128783039043,6.88206052862469,16,0.288004442669722,0.559426029666103,0.298606642883926,"opponent"
