"","object","Answer.competition_condition","c","n","l","sdc","c.cih","c.cil","competition"
"1","Answer.DW_strength",0,0.583730645571255,12.8420742025676,22,0.185019984244144,0.655661193133764,0.509313457132078,"control"
"2","Answer.DW_strength",1,0.5447986749598,9.8063761492764,18,0.182846557465191,0.627839126258798,0.465795880464412,"partner"
"3","Answer.DW_strength",2,0.537194997288824,8.05792495933236,15,0.227655658346632,0.636350145010925,0.419418771184381,"opponent"
"4","Answer.expectation_of_winning",0,0.708269023734952,15.5819185221689,22,0.13679600064228,0.765801223508961,0.654541613941737,"control"
"5","Answer.expectation_of_winning",1,0.628847345145724,11.319252212623,18,0.210058562313334,0.718563176325109,0.530890957286958,"partner"
"6","Answer.expectation_of_winning",2,0.766628936854177,11.4994340528127,15,0.171969045188084,0.839657097376571,0.686528062169005,"opponent"
"7","Answer.strength_of_average_player",0,0.623497819756233,13.7169520346371,22,0.151454198591113,0.687390255764739,0.557451969984435,"control"
"8","Answer.strength_of_average_player",1,0.632971002361246,11.3934780425024,18,0.203616092026858,0.727429052313714,0.535236130937016,"partner"
"9","Answer.strength_of_average_player",2,0.693404001138782,10.4010600170817,15,0.131994484004591,0.754053902846752,0.627181696927042,"opponent"
"10","Answer.role_of_luck_in_game",0,0.432607440519168,9.51736369142169,22,0.279585416986197,0.545529850035635,0.321429790150049,"control"
"11","Answer.role_of_luck_in_game",1,0.329902376466377,5.93824277639479,18,0.227460359052448,0.437349449129099,0.227875256421904,"partner"
"12","Answer.role_of_luck_in_game",2,0.438742255190031,6.58113382785047,15,0.298198993009815,0.586746071466549,0.296258627601097,"opponent"
