"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.competition_condition"	"Answer.evidence_condition"	"Answer.initials_provided_by_participant"	"Answer.DW_strength"	"Answer.strength_of_average_player"	"Answer.role_of_luck_in_game"	"Answer.expectation_of_winning"	"Answer.DW_check"	"Answer.familiarization_check"	"Answer.DW_accuracy_check"	"Answer.overall_check"	"Answer.final_comments"
"3Y3N5A7N4GAOWI9IUSMIPIUI6E8MY1"	"3H9KHFULG43W6IOJAUMQZYQKKDEECI"	"Competition study"	"Play a 2-4 minute game and complete a brief survey"	"competition, game, study, experiment"	"$0.25"	"Mon May 26 16:35:00 EDT 2014"	"145"	"0"	"0"	"145"	"Reviewable"	"NotReviewed"	"1 condition"	"600"	"60000"	"Mon Jun 02 16:35:00 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3Y3N5A7N4GAOWI9IUSMIPIUI6E8MY1"	"3TAYZSBPLL93FCQAB6GAG6O2O8KS20"	"A1LRJ2MQD4AMES"	"Approved"	"Tue May 27 09:26:17 EDT 2014"	"Mon May 26 16:43:51 EDT 2014"	"Mon May 26 16:46:17 EDT 2014"	"Mon May 26 17:16:29 EDT 2014"	""	""	""	""	"1"	"0"	"""MN"""	"0.9110576923076923"	"0.7668269230769231"	"0.3293269230769231"	"0.8533653846153846"	"""partner"""	"""8"""	"""8"""	""" Nothing is unclear"""	""" """
"3Y3N5A7N4GAOWI9IUSMIPIUI6E8MY1"	"3H9KHFULG43W6IOJAUMQZYQKKDEECI"	"Competition study"	"Play a 2-4 minute game and complete a brief survey"	"competition, game, study, experiment"	"$0.25"	"Mon May 26 16:35:00 EDT 2014"	"145"	"0"	"0"	"145"	"Reviewable"	"NotReviewed"	"1 condition"	"600"	"60000"	"Mon Jun 02 16:35:00 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3Y3N5A7N4GAOWI9IUSMIPIUI6E8MY1"	"3WT783CTPBIHW81AXDJL2UNOWBBCBS"	"A1VKQCQR2QEKSW"	"Approved"	"Tue May 27 09:26:22 EDT 2014"	"Mon May 26 16:42:58 EDT 2014"	"Mon May 26 16:46:22 EDT 2014"	"Mon May 26 17:16:29 EDT 2014"	""	""	""	""	"2"	"0"	"""dp"""	"0.8785529715762274"	"0.7932816537467701"	"0.6046511627906976"	"0.6216794478128497"	"""opponent"""	"""8"""	"""8"""	""" no"""	""" """
"3Y3N5A7N4GAOWI9IUSMIPIUI6E8MY1"	"3H9KHFULG43W6IOJAUMQZYQKKDEECI"	"Competition study"	"Play a 2-4 minute game and complete a brief survey"	"competition, game, study, experiment"	"$0.25"	"Mon May 26 16:35:00 EDT 2014"	"145"	"0"	"0"	"145"	"Reviewable"	"NotReviewed"	"1 condition"	"600"	"60000"	"Mon Jun 02 16:35:00 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3Y3N5A7N4GAOWI9IUSMIPIUI6E8MY1"	"3WAKVUDHUWHQGQFK6NS5RYNYKLS7UC"	"A2UF2FRGVW4T89"	"Approved"	"Tue May 27 09:28:36 EDT 2014"	"Mon May 26 16:44:15 EDT 2014"	"Mon May 26 16:48:36 EDT 2014"	"Mon May 26 17:16:30 EDT 2014"	""	""	""	""	"0"	"1"	"""cm"""	"0.7649006622516556"	"0.7284768211920529"	"0.16225165562913907"	"0.5"	"""opponent"""	"""2"""	"""2"""	""" no"""	""" """
"3Y3N5A7N4GAOWI9IUSMIPIUI6E8MY1"	"3H9KHFULG43W6IOJAUMQZYQKKDEECI"	"Competition study"	"Play a 2-4 minute game and complete a brief survey"	"competition, game, study, experiment"	"$0.25"	"Mon May 26 16:35:00 EDT 2014"	"145"	"0"	"0"	"145"	"Reviewable"	"NotReviewed"	"1 condition"	"600"	"60000"	"Mon Jun 02 16:35:00 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3Y3N5A7N4GAOWI9IUSMIPIUI6E8MY1"	"3Y9N9SS8LYCMY53BIGZQ4H7UTJBD33"	"A31A4YKVSOYRVS"	"Approved"	"Tue May 27 09:28:40 EDT 2014"	"Mon May 26 16:43:05 EDT 2014"	"Mon May 26 16:48:40 EDT 2014"	"Mon May 26 17:16:30 EDT 2014"	""	""	""	""	"1"	"1"	"""ds"""	"0.41310710173845294"	"0.27066665805062584"	"0.5896701276454159"	"0.4999999403953552"	"""partner"""	"""5"""	"""5"""	"""no"""	""" """
"3Y3N5A7N4GAOWI9IUSMIPIUI6E8MY1"	"3H9KHFULG43W6IOJAUMQZYQKKDEECI"	"Competition study"	"Play a 2-4 minute game and complete a brief survey"	"competition, game, study, experiment"	"$0.25"	"Mon May 26 16:35:00 EDT 2014"	"145"	"0"	"0"	"145"	"Reviewable"	"NotReviewed"	"1 condition"	"600"	"60000"	"Mon Jun 02 16:35:00 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3Y3N5A7N4GAOWI9IUSMIPIUI6E8MY1"	"3I7DHKZYGN1MA44BN5I97E8ZJSI5FW"	"A175ZTL2OZO9YU"	"Approved"	"Tue May 27 09:29:05 EDT 2014"	"Mon May 26 16:46:27 EDT 2014"	"Mon May 26 16:49:05 EDT 2014"	"Mon May 26 17:16:30 EDT 2014"	""	""	""	""	"1"	"1"	"""TC"""	"0.5016611295681063"	"0.45514950166112955"	"0.6378737541528239"	"0.6578073089700996"	"""partner"""	"""2"""	"""2"""	""" Yes. I did not get to compete like stated."""	""" Thank you!"""
"3Y3N5A7N4GAOWI9IUSMIPIUI6E8MY1"	"3H9KHFULG43W6IOJAUMQZYQKKDEECI"	"Competition study"	"Play a 2-4 minute game and complete a brief survey"	"competition, game, study, experiment"	"$0.25"	"Mon May 26 16:35:00 EDT 2014"	"145"	"0"	"0"	"145"	"Reviewable"	"NotReviewed"	"1 condition"	"600"	"60000"	"Mon Jun 02 16:35:00 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3Y3N5A7N4GAOWI9IUSMIPIUI6E8MY1"	"3VE8AYVF8MY5XMNDL3PCJYIQLIJ8F1"	"AOW8XHXW76DSF"	"Approved"	"Tue May 27 09:31:49 EDT 2014"	"Mon May 26 16:48:31 EDT 2014"	"Mon May 26 16:51:49 EDT 2014"	"Mon May 26 17:16:30 EDT 2014"	""	""	""	""	"0"	"0"	"""DM"""	"1"	"0.6706730769230769"	"0"	"0.8197115384615384"	"""opponent"""	"""8"""	"""8"""	""" No"""	""" """
"3Y3N5A7N4GAOWI9IUSMIPIUI6E8MY1"	"3H9KHFULG43W6IOJAUMQZYQKKDEECI"	"Competition study"	"Play a 2-4 minute game and complete a brief survey"	"competition, game, study, experiment"	"$0.25"	"Mon May 26 16:35:00 EDT 2014"	"145"	"0"	"0"	"145"	"Reviewable"	"NotReviewed"	"1 condition"	"600"	"60000"	"Mon Jun 02 16:35:00 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3Y3N5A7N4GAOWI9IUSMIPIUI6E8MY1"	"3IXQG4FA2TZFYAU7LT9U04MGQQ9B9B"	"A1Q71TL2W0V6FE"	"Approved"	"Tue May 27 09:32:03 EDT 2014"	"Mon May 26 16:49:22 EDT 2014"	"Mon May 26 16:52:03 EDT 2014"	"Mon May 26 17:16:30 EDT 2014"	""	""	""	""	"2"	"1"	"""EN"""	"0.8039867109634552"	"0.7408637873754153"	"0.34219269102990035"	"0.6146179401993356"	"""opponent"""	"""2"""	"""2"""	""" No, the directions are clear"""	""" Interesting experiment, hope I can help your psychology study."""
"3Y3N5A7N4GAOWI9IUSMIPIUI6E8MY1"	"3H9KHFULG43W6IOJAUMQZYQKKDEECI"	"Competition study"	"Play a 2-4 minute game and complete a brief survey"	"competition, game, study, experiment"	"$0.25"	"Mon May 26 16:35:00 EDT 2014"	"145"	"0"	"0"	"145"	"Reviewable"	"NotReviewed"	"1 condition"	"600"	"60000"	"Mon Jun 02 16:35:00 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3Y3N5A7N4GAOWI9IUSMIPIUI6E8MY1"	"3G5F9DBFOPYNMUAWOMOMEXEBCVWVHQ"	"A3OGXVZ41XKHBV"	"Approved"	"Tue May 27 09:32:03 EDT 2014"	"Mon May 26 16:49:52 EDT 2014"	"Mon May 26 16:52:03 EDT 2014"	"Mon May 26 17:16:30 EDT 2014"	""	""	""	""	"1"	"1"	"""cr"""	"0.8705583756345178"	"0.26903553299492383"	"0.4213197969543147"	"0.7131979695431472"	"""partner"""	"""2"""	"""2"""	""" no"""	""" """
"3Y3N5A7N4GAOWI9IUSMIPIUI6E8MY1"	"3H9KHFULG43W6IOJAUMQZYQKKDEECI"	"Competition study"	"Play a 2-4 minute game and complete a brief survey"	"competition, game, study, experiment"	"$0.25"	"Mon May 26 16:35:00 EDT 2014"	"145"	"0"	"0"	"145"	"Reviewable"	"NotReviewed"	"1 condition"	"600"	"60000"	"Mon Jun 02 16:35:00 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3Y3N5A7N4GAOWI9IUSMIPIUI6E8MY1"	"3PXX5PX6LXZT3T4CDZNUWZX0W8RBAQ"	"A1KQ1KIZQHORR9"	"Approved"	"Tue May 27 09:32:59 EDT 2014"	"Mon May 26 16:50:07 EDT 2014"	"Mon May 26 16:52:59 EDT 2014"	"Mon May 26 17:16:31 EDT 2014"	""	""	""	""	"1"	"0"	"""SK"""	"1"	"0.5"	"0.3005181347150259"	"0.48186528497409326"	"""partner"""	"""8"""	"""8"""	""" Very specific words on the part of DW."""	""" """
"3Y3N5A7N4GAOWI9IUSMIPIUI6E8MY1"	"3H9KHFULG43W6IOJAUMQZYQKKDEECI"	"Competition study"	"Play a 2-4 minute game and complete a brief survey"	"competition, game, study, experiment"	"$0.25"	"Mon May 26 16:35:00 EDT 2014"	"145"	"0"	"0"	"145"	"Reviewable"	"NotReviewed"	"1 condition"	"600"	"60000"	"Mon Jun 02 16:35:00 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3Y3N5A7N4GAOWI9IUSMIPIUI6E8MY1"	"3WJ1OXY92AHA1V65AN3K5X7ZO268AO"	"A2SYRFPPV9WDEG"	"Approved"	"Tue May 27 09:33:08 EDT 2014"	"Mon May 26 16:48:14 EDT 2014"	"Mon May 26 16:53:08 EDT 2014"	"Mon May 26 17:16:31 EDT 2014"	""	""	""	""	"1"	"0"	"""PM"""	"0.9683333333333334"	"0.54"	"0.035"	"0.7233333333333334"	"""partner"""	"""12"""	"""12"""	""" """	""" """
